word,frequency
carton,44.86
accident,44.8
reprocher,44.73
tiède,44.73
métal,44.73
élan,44.73
dizaine,44.73
appareil,44.66
opinion,44.66
pardonner,44.59
adorer,44.59
condamner,44.59
furieux,44.59
noter,44.53
tâche,44.53
bouton,44.46
base,44.46
juge,44.46
différence,44.46
loup,44.39
venu,44.39
répandre,44.32
exercer,44.26
choc,44.19
cimetière,44.19
apprécier,44.12
complet,44.12
dépit,44.12
menace,44.12
chagrin,44.05
paille,44.05
déranger,43.99
parc,43.99
cheminée,43.99
respect,43.85
raser,43.78
quarante,43.78
secrétaire,43.78
gendarme,43.72
rivière,43.72
automne,43.65
faillir,43.65
séjour,43.58
septembre,43.58
repos,43.58
utiliser,43.51
solution,43.51
division,43.51
parfait,43.45
voyageur,43.38
blesser,43.31
jaillir,43.24
texte,43.24
afin de,43.18
lesquelles,43.11
marbre,43.04
usine,42.97
prétexte,42.91
poignet,42.84
extraordinaire,42.84
statue,42.84
alcool,42.84
soigner,42.84
cadre,42.84
solide,42.77
renvoyer,42.7
inscrire,42.7
priver,42.7
là-haut,42.7
immédiatement,42.64
fièvre,42.64
brume,42.57
message,42.57
zone,42.5
ange,42.5
coiffer,42.43
roue,42.43
millier,42.43
tracer,42.36
auto,42.36
désordre,42.23
coupe,42.23
disque,42.16
miracle,42.16
rougir,42.09
ôter,42.03
chant,42.03
percer,42.03
tabac,41.89
auteur,41.89
période,41.89
certitude,41.89
centaine,41.82
foncer,41.82
lutte,41.82
cage,41.82
vision,41.82
presse,41.82
gai,41.76
maréchal,41.69
carreau,41.69
veiller,41.62
total,41.62
auparavant,41.62
revanche,41.62
trahir,41.55
