,word,frequency
1380,fermé,56.35
1381,cave,56.35
1382,fournir,56.28
1383,dessin,56.28
1384,récit,56.15
1385,véritable,56.08
1386,costume,55.88
1387,signer,55.81
1389,rayon,55.74
1391,colline,55.61
1392,aide,55.54
1393,attraper,55.34
1394,allié,55.34
1395,éveiller,55.27
1396,danger,55.27
1397,accomplir,55.2
1399,puissance,55.2
1400,demi,55.2
1401,conserver,55.14
1402,vieillard,55.14
1403,essuyer,55.0
1405,tort,55.0
1406,radio,55.0
1408,hôpital,54.93
1409,détourner,54.86
1410,créer,54.8
1411,diable,54.8
1412,recherche,54.8
1413,accueillir,54.73
1414,sauvage,54.66
1415,rapprocher,54.66
1416,baiser,54.59
1417,portrait,54.59
1418,mériter,54.53
1419,plateau,54.53
1420,lecture,54.53
1421,poisson,54.46
1422,remercier,54.46
1423,constituer,54.39
1424,surveiller,54.39
1425,interdire,54.39
1426,curiosité,54.39
1427,cercle,54.26
1428,régler,54.19
1429,efforcer,54.19
1430,coude,54.19
1431,indiquer,54.12
1432,million,54.05
1433,cadavre,54.05
1434,verser,53.99
1435,meuble,53.99
1436,particulier,53.99
1437,maîtresse,53.92
1438,arrêt,53.92
1439,confondre,53.85
1440,ceci,53.78
1441,subir,53.72
1442,rendez-vous,53.72
1443,succès,53.72
1444,faible,53.65
1445,mystérieux,53.65
1446,merci,53.51
1448,charme,53.45
1449,humide,53.31
1450,brillant,53.31
1452,boue,53.31
1453,fameux,53.11
1454,déchirer,53.11
1455,au-delà,52.91
1456,naissance,52.91
1457,semblable,52.91
1458,soit,52.91
1459,héros,52.77
1460,divers,52.77
1461,santé,52.7
1462,rassembler,52.7
1464,construire,52.64
1465,rompre,52.64
1466,aise,52.64
1467,crainte,52.64
1468,couteau,52.64
1469,menacer,52.57
1470,désert,52.57
1471,auquel,52.57
1472,haine,52.5
1473,prouver,52.43
1474,détruire,52.36
1475,invisible,52.36
1476,relation,52.36
1477,défense,52.3
1478,valeur,52.3
1479,jadis,52.3
1480,bizarre,52.23
1481,visiter,52.16
1482,résister,52.16
1483,erreur,52.09
1484,mentir,52.03
1487,conclure,51.76
1488,vaguement,51.76
1489,mode,51.69
1490,génie,51.62
1491,soie,51.62
1492,bonjour,51.55
