,word,frequency,known
1003,cents,80.54,1
1004,commander,80.34,1
1005,peindre,80.27,1
1006,trace,80.27,1
1007,compagnon,80.0,1
1008,arrivée,80.0,1
1009,masse,79.8,1
1010,courant,79.73,1
1011,dessiner,79.66,1
1012,président,79.66,1
1013,anglais,79.53,1
1014,somme,79.26,1
1015,cuir,79.19,1
1016,trente,79.12,1
1017,moitié,79.05,1
1018,officier,79.05,1
1019,partager,78.99,1
1020,grâce,78.85,1
1021,dépasser,78.78,1
1022,enlever,78.78,1
1023,mariage,78.72,1
1024,rond,78.51,1
1025,cinéma,78.51,1
1026,mince,78.51,1
1027,poussière,78.45,1
1028,imposer,78.38,1
1029,nombre,78.38,1
1030,justement,78.18,1
1031,avion,78.04,1
1032,bataille,77.77,1
1033,amitié,77.77,1
1034,hauteur,77.7,1
1035,note,77.43,1
1036,quart,77.3,1
1037,surprise,77.16,1
1038,papa,77.16,1
1039,prévoir,77.09,1
1040,autorité,77.03,1
1041,expression,76.89,1
1042,nuage,76.82,1
1043,éteindre,76.82,1
1044,blond,76.76,1
1045,soirée,76.69,1
1046,repas,76.62,1
1047,taille,76.49,1
1048,foi,76.49,1
1049,fuir,76.42,1
1050,port,76.42,1
1051,croiser,76.35,1
1052,absence,76.28,1
1053,vitre,76.22,1
1054,poing,76.08,1
1055,poil,76.01,1
1056,faim,75.95,1
1057,commun,75.95,1
1058,regretter,75.88,1
1059,planter,75.88,1
1060,arranger,75.81,1
1061,étroit,75.81,1
1062,importance,75.81,1
1063,naturel,75.68,1
1064,médecin,75.61,1
1065,sept,75.61,1
1066,forcer,75.41,1
1067,attirer,75.27,1
1068,lunette,75.27,1
1069,sortie,75.27,1
1070,étranger,75.0,1
1071,volonté,74.93,1
1072,ramasser,74.8,1
1073,bref,74.8,1
1074,roman,74.8,1
1075,américain,74.73,1
1076,terrain,74.73,1
1077,claquer,74.19,1
1078,distinguer,74.12,1
1079,château,74.12,1
1080,sûrement,74.12,1
1081,drap,74.12,1
1082,film,74.12,1
1083,terrasse,74.05,1
1084,silencieux,74.05,1
1085,quai,73.99,1
1086,malade,73.92,1
1087,convenir,73.78,1
1088,spectacle,73.78,1
1089,prévenir,73.72,1
1090,calme,73.65,1
1091,vague,73.58,1
1092,évoquer,73.51,1
1093,appel,73.45,1
1094,silhouette,73.31,1
1095,déclarer,73.18,1
1096,surgir,73.18,1
1097,endormir,73.18,1
1098,interroger,73.04,1
1099,exprimer,72.64,1
1100,combat,72.57,1
1101,flic,72.43,1
1102,prison,72.43,1
1103,mec,72.3,1
1104,nord,72.3,1
1105,loi,72.3,1
1106,protéger,72.23,1
1107,bande,72.23,1
1108,hausser,71.96,1
1109,cesse,71.96,1
1110,naturellement,71.96,1
1111,flamme,71.82,1
1112,rapide,71.82,1
1113,vaste,71.76,1
1114,pantalon,71.76,1
1115,celui-ci,71.76,1
1116,croix,71.62,1
1117,tache,71.28,1
1118,titre,71.22,1
1119,parfaitement,71.08,1
1120,inquiéter,71.01,1
1121,presser,71.01,1
1122,gêner,71.01,1
1123,également,71.01,1
1124,attacher,71.01,1
1125,voie,71.01,1
1126,peser,70.88,1
1127,vider,70.81,1
1128,politique,70.81,1
1129,attaquer,70.41,1
1130,effacer,70.34,1
1131,inutile,70.34,1
1132,valise,70.34,1
1133,courage,70.34,1
1134,lors,70.27,1
1135,opération,70.2,1
1136,ressentir,70.14,1
1137,unique,70.14,1
1138,numéro,70.07,1
1139,projet,70.0,1
1140,douceur,70.0,1
1141,traiter,69.93,1
1142,causer,69.93,1
1143,enfermer,69.86,1
1144,inventer,69.73,1
1145,solitude,69.73,1
1146,cuisse,69.73,1
1147,certes,69.66,1
1148,amant,69.59,1
1149,laver,69.53,1
1150,confier,69.53,1
1151,horreur,69.46,1
1152,fatigue,69.46,1
1153,caisse,69.39,1
1154,recouvrir,69.26,1
1155,par-dessus,69.19,1
1156,reculer,69.05,1
1157,con,68.99,1
1158,angoisse,68.99,1
1159,produire,68.92,1
1160,immeuble,68.78,1
1161,britannique,68.72,1
1162,intention,68.65,1
1163,dîner,68.58,1
1164,midi,68.38,1
1165,cul,68.31,1
1166,soin,68.24,1
1167,admirer,68.18,1
1168,théâtre,68.18,1
1169,brun,68.18,1
1170,nécessaire,68.11,1
1171,manteau,68.11,1
1172,rassurer,68.04,1
1173,ranger,67.91,1
1174,taper,67.91,1
1175,chasser,67.91,1
1176,attitude,67.91,1
1177,accorder,67.84,1
1178,plaindre,67.84,1
